,sentence,word_count,index
134,{link} Nice find by RSQ's @mention {link} #sxsw #iPad #app So true!,12,134
135,"RT @mention Best Hungry at #sxsw Tip: Mekong River, great Vietnamese {link} 6th St. till 11pm via @mention Can Google get social in Texas?",24,135
136,{link} #ChrisMessina #facebook #google #GoogleCircles #SXSW #TWITTER #fsw #sxsw for those of you who wanted to know about the spec for parsing Ajax Links {link} Happy Pi Day!,28,136
137,"(If google doesn't launch Circles on Pi day, it doesn't exist) #sxsw At #SXSW Social Hackathon session with Google, Bing, Webtrends and Chzbrgr.",23,137
138,Going to figure out how to do this in Mpls/St Paul #bolinsxsw Looks like you may be able to fork over the cash for a new #ipad2 at ##sxsw {link} Love it.,32,138
139,@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; RT @mention ReadWriteWeb is reporting Google might launch its new social network at #SXSW today -- {link} Marissa Meyer demoing Google augmented reality at #SXSW  {link} @mention  It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch bit.ly/g03MZB Win an #OpenBeta6 iPad @mention this #sxsw panel {link}  today @mention 11!,81,139
140,#usguys cc @mention  #DgtlTribe #sxswbuffalo msc_page: Guy gets tattoo at SXSW so he could win a free iPad2 {link} #sxsw #tattoo #ipadÛ_ {link} #allshare Just left #sxsw tradeshow demo of @mention at the Google Theatre.,35,140
141,"Ok, I get it.",4,141
142,I see why all the presenters here are using it.,10,142
143,Here he comes ladies!,4,143
144,@mention  @mention  RT @mention I'll be at Austin Convention Center w/  @mention showing my  iPhone game.,16,144
145,"#SXSW #4sq sees Facebook and Google as competition via @mention #checkins #sxsw Ahhh, darn :( RT @mention @mention @mention according to @mention Google has confirmed it is not launching at #SXSW, if at all.",34,145
146,"Wow&lt;&lt;ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ RT @mention Apple selling iPad 2 at #sxsw.",22,146
147,California is great at building cult followings.,7,147
148,"{link} Before It Even Begins, Apple Wins #SXSW {link} via @mention I threw this together to keep on my iPad to attempt to keep up with all the after hours stuff this weekend.",33,148
149,#sxsw  {link} Platform for Concertgoers Launches #Android #App in Time for #SXSW {link} via @mention #music #events #liveshows iTunes has a #free #SXSW sampler featuring a selection of 23 of this year's performers.,33,149
150,{link} RT @mention Win this awesome iPad from QuiBids and custom @mention case if we catch you at #SXSW wearing an openbeta VIP badge!,24,150
151,RT @mention RT @mention We lose an hour tonight.,9,151
152,"#SxSW attendees will blame Microsoft, Apple will get credit for fixing it before Christmas.",14,152
153,1st injury of #SXSW?,4,153
154,Bicycle + stupid + concrete = ouch.,7,154
155,{link} Fortunately still able to type on iPhone.,8,155
156,Not on my schedule!,4,156
157,RT @mention The Beluga iPhone app is the highlight of this #SXSW.,12,157
158,Excellent way to coordinate the #sxsw4japan relief effort.,8,158
159,"bored at #SxSW, try this iphone app: {link} @mention @mention @mention Thanks for making great products!",16,159
160,Great for making #SXSW party podcasts {link} Third time the charm?&gt;&gt;&gt; #Google to launch new social network at #SXSW?,19,160
161,- CNET News {link} Ten percent of the crowd at &quot;Designing iPad Interfaces&quot; already have the ipad2.,17,161
162,"#SXSW aight, here's my wed + thurs list of #sxsw possibilities: {link} i hope to see all my twitter buds out + about atx this week!",26,162
163,Anyone know any android devs at #sxsw?,7,163
164,let me know - there's a startup in need of help.,11,164
165,Ha!,1,165
166,RT @mention It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW &amp; the iPad 2 launch {link} ÛÏThe classiest fascist company in existenceÛ - Kara Swisher #sxsw #apple RT @mention Abt to surprise customer waiting in line at Apple store in Austin for #iPad 2 with an @mention !,56,166
167,#SXSW #cbatsxsw / Awesome RT @mention Temp Apple Store 6th St  Austin #sxsw closed for night &quot;they're out of stuff' says Austin cops barring the door!,26,167
168,RT to enter the contest and maybe win an iPad 2 from @mention #sxsw #SXSW is Apptastic!,17,168
169,"{link} #android #apps #developers #ios #iphone #smartphones So between @mention @mention google places, and @mention which one do I check in to?",22,169
170,I need a check-in aggregator!,5,170
171,#SXSW #sxswedu RT @mention I'll use an iPad 2 if someone gives it to me.,15,171
172,"Otherwise, iPhone is actually more than up to task #sxsw RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #SXSW I love how #sxsw is an alt universe where everyone uses Apple products and @mention is the fastest way to reach someone Google Announces Check-ins: SXSW Location-Based Geo-Fencing Applications - {link} #ireport #WSsxsw #sxsw #SCRM #SM #marketing Then there is hope I too may someday keynote SWSX!",72,172
173,"RT @mention Bored during keynote #sxsw, but have an iPad  {link} Grab @mention for #betainvites #sxsw!",16,173
174,"@mention new Android camera, raises $1.1M from Valley players bit.ly/eA1zgD /via @mention Meet The Guy Who Bought The First #iPad 2 At The #SXSW #Apple Pop-UpåÊStore {link} via @mention RT @mention Less than 2 hours until we announce the details on the iPad 2 giveaway!",45,174
175,#SXSW #SXSWi Love Google Analytics!,5,175
176,Thanks to the followers at #SXSW who took the time to check out my new post!,16,176
177,"Come party w/ @mention and Google tonight at #sxsw: {link} Bands, food, art, ice cream, nifty interactive maps!",18,177
178,Google has been collecting data on the types of requests they've been receiving from governments globally - #privacybootcamp #sxsw Forget disneyland... the apple pop-up store in austin is the happiest place on earth #SXSW RT @mention Google previews updated Blogger interface at #SXSW {link} #sxsw -- &quot;The shape of city will expand/contract with real time data&quot;.,56,178
179,Google developer encourages audience to google &quot;mapping Japan&quot;.,8,179
180,@mention takin' #galaxys4g  4 test drive @mention #sxsw n c how #tmobile #4g holds up in packed downtown #atx #austintx #samsunggalaxys #android Enjoying the resurgence ÛÏ@mention I'll be at the Austin Convention Center today w/ my @mention fam... showing my new iPhone game.,43,180
181,#SXSWÛ Help me decide which panel to go to next: Future of Social Photography or Google Doodles: Burning Man to Pac-Man and Beyond.,23,181
182,"#sxsw @mention @mention @mention Google to Launch Major New Social Network Called Circles,rww.to/f6BCEt #sxsw When is someone going to ask why Bing is copying Google's search results?",27,182
183,"#qagb #SXSW #SEO Google recreated the code for Pac-Man for their doodle, original bugs included.",15,183
184,#sxsw #googledoodles Nice that @mention iPhone app is behaving today.,10,184
185,Crashes yesterday were ridiculous.,4,185
186,"#sxsw checking out iPad 2 @mention the #sxsw pop-up store (@mention Apple Store, SXSW w/ 17 others) {link} Apple store downtown Austin open til Midnight.",25,186
187,"#sxsw RT @mention #sxsw @mention rocks the casbah at @mention @mention #partylikeits1986 for digital rights  {link} Expect mob scenes on W 6th St &amp; Congress {link} #sxsw #ipad2 RT @mention Before It Even Begins, Apple WinsåÊ#SxSW, {link} -&gt; gonna get sum!",41,187
188,via @mention Bout time!,4,188
189,"RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored (cont) {link} Tristan H, apture: being fast &amp; iterative w your news content means google finds you first.",34,189
190,"#sxsw #hacknews #drumbeat #MoJo I Added Linkedin =) -  HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link} Want to win a ticket (1) to the #SXSW party?",31,190
191,Rules are simple!,3,191
192,"{link} | Android Unite - Android News To The Masses #Android Ok,I have seen two impressive lines since I'm at #SXSW  the one at the Apple Store yesterday.",28,192
193,&amp; the @mention party now cc @mention Two iPad observations at #sxsw.,12,193
194,Vast majority of people using them.,6,194
195,Seen lots of 2s today.,5,195
196,Looks nice.,2,196
197,#appletakingoverworld @mention says she feels sexier when she uses an @mention product:-) #sxsw-influence USA Today on iPad: makes good use of digital shortcuts while still looking like a newspaper.,29,197
198,@mention #tapworthy #sxsw Took a few days off (unplugged) to visit family.,12,198
199,Anyone have #sxsw highlights?,4,199
200,My Google reader is bursting at the seams!,8,200
201,compiling my #sxsw list in one google doc is taking a lot longer than i thought... so many parties.,19,201
202,so many good musicians.,4,202
203,So @mention vs @mention vs @mention at #SXSW.,8,203
204,Things are heating up!,4,204
205,&quot;Google offers check-in rewards &amp; titles&quot; {link} - #lbs iPad 2 has been purchased.,14,205
206,It's 90 and sunny.,4,206
207,Tan.,1,207
208,4square.,1,208
209,So far so good at #SXSW.,6,209
210,Grateful for my ACLU/google earplugs right about now #sxsw Headed to #sxsw and want to share/gather contact info?,18,210
211,"{link} can turn your iphone into a... {link} Line forming at popup Apple Store, no sign of Apple yet.",19,211
212,#sxsw {link} @mention -&gt; RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW (cont) {link} Very smart from @mention #hollergram iPad app for #sxsw!,30,212
213,{link} (may leave my vuvuzela at home now) Google heat map for global searches.,14,213
214,"#SXSW #Hotpot {link} RT @mention Slides from #SXSW talk, &quot;iPad Design Headaches &quot; {link} #tapworthy .",16,214
215,Really interesting for designers as well.,6,215
216,Does anyone know if the @mention store at #sxsw still has ipad 2's in stock?,15,216
217,I arrived at #sxsw and my @mention issue hasn't been resolved.,11,217
218,Dying to use the iPhone app but cant login.,9,218
219,RT@mention @mention we're on it Watching @mention covering the iPad 2 launch live at the Apple pop-up store in Austin at #SXSW {link} RT @mention #iPad2 Live Unboxing In Front Of The #SXSW Apple Store [VIDEO] {link} This is a #WINNING picture #android #google #sxsw {link} RT @mention Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw .,64,219
220,@mention of @mention &quot;We were getting feedback from #SXSW groups &amp; we pushed out an Android fix at the grilled cheese stand yesterday.&quot; google to launch a social network at #sxsw today?,32,220
221,"Google to Launch Major New Social Network Called Circles, Possibly Today {link} #circles #sxsw Engaging #sxsw filter on my @mention iPhone/iPod Twitter app.",23,221
222,"#youkidshavefun Apple to Open 'Pop Up' Temporary Store at #SXSW for iPad 2 Launch {link} via @mention Check out the @mention Route {link} ; RSVP here -&gt; https://www.facebook.com/event.php?eid=141164002609303 #sxswi #sxsw @mention just saw you at lax I'm heading to #Sxsw  If you or your wife have an iPhone or iPad download my app #Freespeech @mention Only white #ipad2 64gig wifi available at #Austin #SXSW #Apple popup store right now, but no wait!",72,222
223,Rumors from #SXSW--could this be true?,6,223
224,"- Google Launching Secret New Social Network Called &quot;Circles&quot; {link} #iPad Lounge: Recharge, coffee, H2O, iPad Art Show-free, daily for #sxsw 106 E 8th at Congress åÇ Austin Details {link} ÛÏ@mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link} #sxsw #socialmedia #tech #ipad2 #mediaÛ DL the #Calyp App to get into #Calyp Casa at #SXSW the free mobile app is available in iTunes App Store &amp; Android Market.",72,224
225,See u there!,3,225
226,Apple Opening Pop-Up Store In Austin For #SXSW {link} (via @mention Play Gun Bros on an xperia play at Google League event and parking lot of #teamandroid event on #xperiaplay Sunday #sxsw @mention I knew if I plied @mention with beer and stogies last night I'd weasel my way into the Team Android party tonight.,55,226
227,#success #SXSW.,2,227
228,Put the iPad down idiot!,5,228
229,#SMComedyFyeah #SxSW For any #SXSW folk looking for iPad 2's: The pop-up Apple store still has some in stock (a colleague just picked one up) #protip Contests to Juan on winning our last @mention commuter case for #iPhone 4 !,40,229
230,2 $50 gift cards left!,5,230
231,"#cbatsxsw #SXSW someone started an #austin @mention group in google groups, pre-#sxsw.",12,231
232,"great idea @mention What, *the* Guy Kawasaki?",7,232
233,Former Apple evangelist?,3,233
234,WANW!,1,234
235,#SXSW Kind of funny/sad that the iPad release line was longer than any party lines (i saw) at #sxsw last night.,21,235
236,#sheeple RT @mention At #SXSW?,5,236
237,Don't forget to come to the #privacybootcamp for startups with @mention @mention @mention and @ACLU in ACC 9ABC at 3:30!,20,237
238,Are you stuck inthat long a$$ line at the Apple store?,11,238
239,Come check us out!,4,239
240,We are in the next block across from Driskill!,9,240
241,#Apple #SXSW  #WAM Record your #sxsw experience with your iPhone.,10,241
242,{link} Radio 3.0 looking for new bands for our radio show.,11,242
243,Listen: {link} {link} #nowplaying #newmusic #sxsw pls RT Do it!,10,243
244,RT Find the hottest spots @mention w/ @mention Hot Spots #SXSW app on #WP7 {link} or iPhone {link} Hello gigantic line outside Google v Bing SEO session.,27,244
245,"#sxsw #sxswi @mention hey, I'm in that line!",8,245
246,#sxsw #apple Listening to the official #sxsw mixtape: {link} GSD&amp;M and Google.....sitting in a tree {link} #sxsw #gsdm RT @mention Now more than 200 lined up for #SXSW Apple pop up store [SoftLayer Blog] SoftLayer #SxSW Server Challenge - Video - {link} äÁ Have you tried it yet?,48,246
247,An iPad 2 could be yours!,6,247
248,Success!,1,248
249,Blah panel but found an open outlet to charge up the old iPad.,13,249
250,"#SxSW #fb Google to Launch Major New Social Network Called Circles, Possibly Today (Updated) at #SXSW {link} looking forward to hearing  google's @mention present today at #sxsw @mention &quot;OMG I'm gonna miss 2 panels at #sxsw standing in line for and 1 panel playing with my new iPad, but it'll be worth it.",53,250
251,"#ponies&quot; Our interview w Marissa Mayer from #SXSW on Google 3.0, how working for Larry will be different than working for Eric {link} Wow.",24,251
252,Shakespeare's Pub on 6th St.,5,252
253,Here's to the delete button on the iPhone video camera.,10,253
254,#SXSW The #sxsw Pepsi Max Marketing Street Team has shown up to the PopUp Apple Store line handing out drinks &amp; Tshirts.,22,254
255,"{link} RT @mention Hiring marketers, designers, creatives, social media pros... Come see #Aquent booth 1415 #SXSW trade show.",18,255
256,You might win iPad 2 @mention The #sxsw folks are a pretty Kool-Aid-drinking bunch.,14,256
257,I think a few Android tablets from the hardcore Linux nerds.,11,257
258,Will let you know RT @mention #SXSW a line of about 100 outside Apple pop- up store at Sixth &amp; Congress Genius move by Apple to open a temp.,29,258
259,store in downtown Austin for #SXSW: {link} /via @mention #ipad2 RT @mention Blogger is about due for an update... Google takes action and will showcase the new design at #SXSW {link} Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer.,52,259
260,"/cc: @mention RT @mention If you're at #sxsw, meet our author, and a host of Android devs, Sat.",18,260
261,"at 12:30pm, Hilton room 615AB.",5,261
262,"Marissa Mayer: Google maps should have better customer service, quicker responses.",11,262
263,#sxsw #FH RT @mention listening to @mention discuss new interaction paradigms in designing for the ipad #uxdes #sxsw I'm sure {link} is having a Double Rainbow kind of day right now.,31,263
264,#google #sxsw @mention Heading to Austin for #SXSW?,8,264
265,The @mention Austin guide for iPhone is free for a limited time {link} #lp #travel @mention recounts the batshit insanity doubling as &quot;creativity&quot; that ensures they &quot;don't suck&quot;.,28,265
266,"Google 'michaels room groupon' #sxsw At midday, iPhone at mid-battery.",10,266
